items,domestic,international
http://www.wikidata.org/entity/Q232106,3702847,0
http://www.wikidata.org/entity/Q1739774,1000000,0
http://www.wikidata.org/entity/Q163899,94784201,175721674
http://www.wikidata.org/entity/Q15040679,6000,40000
http://www.wikidata.org/entity/Q28312316,3000,1000000
http://www.wikidata.org/entity/Q18703038,72082898,38400000
http://www.wikidata.org/entity/Q19867737,10000,0
http://www.wikidata.org/entity/Q1785876,2464,0
http://www.wikidata.org/entity/Q169082,38478866,15600000
http://www.wikidata.org/entity/Q2351514,7200000,0
http://www.wikidata.org/entity/Q2579741,20367,0
http://www.wikidata.org/entity/Q17063445,187705427,471214000
http://www.wikidata.org/entity/Q29378617,314626,4480000
http://www.wikidata.org/entity/Q174371,18033532,35635271
http://www.wikidata.org/entity/Q97356619,4700,0
http://www.wikidata.org/entity/Q85844939,3200000,0
http://www.wikidata.org/entity/Q175038,57141819,111700000
http://www.wikidata.org/entity/Q245187,12000000,5000000
http://www.wikidata.org/entity/Q28863792,45822140,35900000
http://www.wikidata.org/entity/Q3023357,56672902,131200000
http://www.wikidata.org/entity/Q110895861,18136,0
http://www.wikidata.org/entity/Q110585233,62679,0
http://www.wikidata.org/entity/Q15110422,13500,0
http://www.wikidata.org/entity/Q186900,36000,500000
http://www.wikidata.org/entity/Q203560,71898231,71200000
http://www.wikidata.org/entity/Q180395,19527491,24500000
http://www.wikidata.org/entity/Q169000,36889586,39100000
http://www.wikidata.org/entity/Q200096,64167230,72810000
http://www.wikidata.org/entity/Q1340566,2574413,0
http://www.wikidata.org/entity/Q15039368,100000,0
http://www.wikidata.org/entity/Q62721520,159227644,220047347
http://www.wikidata.org/entity/Q207482,31700000,90000000
http://www.wikidata.org/entity/Q26720695,0,275000
http://www.wikidata.org/entity/Q1212912,5724387,0
http://www.wikidata.org/entity/Q2812793,32000,0
http://www.wikidata.org/entity/Q27959466,15000,0
http://www.wikidata.org/entity/Q664787,8400000,10000000
http://www.wikidata.org/entity/Q56276976,104027,108000
http://www.wikidata.org/entity/Q16829243,494665,1000000
http://www.wikidata.org/entity/Q40071,6789221,0
http://www.wikidata.org/entity/Q211784,40000000,0
http://www.wikidata.org/entity/Q184605,166112167,603567306
http://www.wikidata.org/entity/Q4630336,33349250,0
http://www.wikidata.org/entity/Q69262739,300000,1000000
http://www.wikidata.org/entity/Q4630542,1049855,0
http://www.wikidata.org/entity/Q21010845,5665445,2130000
http://www.wikidata.org/entity/Q213999,81159365,66490000
http://www.wikidata.org/entity/Q650808,25500000,48000000
http://www.wikidata.org/entity/Q58411015,28847953,21520000
http://www.wikidata.org/entity/Q214014,138447667,63113799
http://www.wikidata.org/entity/Q15040917,191719337,139600035
http://www.wikidata.org/entity/Q18148633,513446,0
http://www.wikidata.org/entity/Q19804229,1000000,4000000
http://www.wikidata.org/entity/Q217294,1487576,1870000
http://www.wikidata.org/entity/Q42218456,5753,5420000
http://www.wikidata.org/entity/Q218458,13084595,13149498
http://www.wikidata.org/entity/Q220154,76908065,84764957
http://www.wikidata.org/entity/Q221075,45284061,22400000
http://www.wikidata.org/entity/Q4632723,10000,0
http://www.wikidata.org/entity/Q221102,28254228,35300000
http://www.wikidata.org/entity/Q578700,2070270,0
http://www.wikidata.org/entity/Q2778386,204822,12200000
http://www.wikidata.org/entity/Q222867,127154901,109195760
http://www.wikidata.org/entity/Q3598715,75612000,61700000
http://www.wikidata.org/entity/Q98131145,12540800,1190000
http://www.wikidata.org/entity/Q131390,210614939,245454603
http://www.wikidata.org/entity/Q400332,106580051,224300000
http://www.wikidata.org/entity/Q62631161,30600,0
http://www.wikidata.org/entity/Q4634472,6000,0
http://www.wikidata.org/entity/Q224117,39756851,40500000
http://www.wikidata.org/entity/Q224133,37305020,28400000
http://www.wikidata.org/entity/Q19559250,77982,0
http://www.wikidata.org/entity/Q4636443,1100000,1000000
http://www.wikidata.org/entity/Q105789256,4100,0
http://www.wikidata.org/entity/Q4635555,208494,0
http://www.wikidata.org/entity/Q1653284,100920,1460000
http://www.wikidata.org/entity/Q4636118,6100,0
http://www.wikidata.org/entity/Q746029,53580600,35200000
http://www.wikidata.org/entity/Q4636468,45000,0
http://www.wikidata.org/entity/Q3525931,30712846,21530000
http://www.wikidata.org/entity/Q29022267,225123,0
http://www.wikidata.org/entity/Q2363062,29300000,0
http://www.wikidata.org/entity/Q229643,4076185,0
http://www.wikidata.org/entity/Q12100164,154696438,175883639
http://www.wikidata.org/entity/Q3599091,95020213,22400000
http://www.wikidata.org/entity/Q234789,6060,0
http://www.wikidata.org/entity/Q18642424,1439562,12200000
http://www.wikidata.org/entity/Q23709802,114074425,33370000
http://www.wikidata.org/entity/Q59631075,22260823,24800000
http://www.wikidata.org/entity/Q2816898,38474000,113200000
http://www.wikidata.org/entity/Q1154108,44617,0
http://www.wikidata.org/entity/Q1148304,130000,0
http://www.wikidata.org/entity/Q859448,35014575,3919371
http://www.wikidata.org/entity/Q17508558,1030000,0
http://www.wikidata.org/entity/Q4640063,19031,0
http://www.wikidata.org/entity/Q242764,5131747,0
http://www.wikidata.org/entity/Q16154889,0,100000
http://www.wikidata.org/entity/Q1849161,16588446,14600000
http://www.wikidata.org/entity/Q244115,10000000,10000000
http://www.wikidata.org/entity/Q2902340,78000,1100000
http://www.wikidata.org/entity/Q245430,11000,1100000
http://www.wikidata.org/entity/Q16252530,2100000,0
http://www.wikidata.org/entity/Q16158661,66537,0
http://www.wikidata.org/entity/Q28101337,27060,104678
http://www.wikidata.org/entity/Q104187039,30802683,60200000
http://www.wikidata.org/entity/Q31271052,7000,0
http://www.wikidata.org/entity/Q41100591,596,0
http://www.wikidata.org/entity/Q30544652,0,1050000
http://www.wikidata.org/entity/Q105810893,4000,0
http://www.wikidata.org/entity/Q42532013,5471,0
http://www.wikidata.org/entity/Q20000957,9000,0
http://www.wikidata.org/entity/Q30597828,3200000,4700000
http://www.wikidata.org/entity/Q111941323,39900000,2000000
http://www.wikidata.org/entity/Q913674,1050000,0
http://www.wikidata.org/entity/Q272604,24264,0
http://www.wikidata.org/entity/Q274400,16860088,30900000
http://www.wikidata.org/entity/Q4645168,88996,0
http://www.wikidata.org/entity/Q2478733,4000000,0
http://www.wikidata.org/entity/Q196665,116724075,126124177
http://www.wikidata.org/entity/Q274904,1000000,0
http://www.wikidata.org/entity/Q580917,19509302,0
http://www.wikidata.org/entity/Q28536668,1700000,0
http://www.wikidata.org/entity/Q20022598,4860000,0
http://www.wikidata.org/entity/Q115596487,10740559,30800000
http://www.wikidata.org/entity/Q30597974,9600000,1600000
http://www.wikidata.org/entity/Q3600228,2955131,0
http://www.wikidata.org/entity/Q228667,0,15000000
http://www.wikidata.org/entity/Q16147760,1427784,1060000
http://www.wikidata.org/entity/Q277457,77821,1487987
http://www.wikidata.org/entity/Q1466657,103300000,0
http://www.wikidata.org/entity/Q644552,6719561,100000000
http://www.wikidata.org/entity/Q4647042,338597,0
http://www.wikidata.org/entity/Q221113,78000000,157300000
http://www.wikidata.org/entity/Q55262219,6150915,6110000
http://www.wikidata.org/entity/Q22350702,2000,0
http://www.wikidata.org/entity/Q26828287,104651,0
http://www.wikidata.org/entity/Q29832507,72211043,55868939
http://www.wikidata.org/entity/Q19824574,74084,0
http://www.wikidata.org/entity/Q4665206,28308723,54700000
http://www.wikidata.org/entity/Q56703347,61604545,35200000
http://www.wikidata.org/entity/Q164103,170742341,313542341
http://www.wikidata.org/entity/Q23925022,7800000,0
http://www.wikidata.org/entity/Q300330,1655270,1120000
http://www.wikidata.org/entity/Q470645,10000,0
http://www.wikidata.org/entity/Q55087665,60390072,157700000
http://www.wikidata.org/entity/Q1129227,41138440,67700000
http://www.wikidata.org/entity/Q547514,159043,1020000
http://www.wikidata.org/entity/Q1070339,3651,0
http://www.wikidata.org/entity/Q1535888,38000000,0
http://www.wikidata.org/entity/Q13522795,38000000,0
http://www.wikidata.org/entity/Q108809561,11500000,3000000
http://www.wikidata.org/entity/Q179460,65223110,10697756
http://www.wikidata.org/entity/Q4668586,15322921,64770638
http://www.wikidata.org/entity/Q923195,18000000,0
http://www.wikidata.org/entity/Q2948074,15000,0
http://www.wikidata.org/entity/Q587707,37316631,84909000
http://www.wikidata.org/entity/Q467053,50750000,70000000
http://www.wikidata.org/entity/Q1962105,1000000,0
http://www.wikidata.org/entity/Q688570,112000,1120000
http://www.wikidata.org/entity/Q1130705,17300000,0
http://www.wikidata.org/entity/Q332394,930000,0
http://www.wikidata.org/entity/Q16156329,17706,4690000
http://www.wikidata.org/entity/Q21527443,39300000,20400000
http://www.wikidata.org/entity/Q332497,50068310,16000000
http://www.wikidata.org/entity/Q15142164,0,1300000
http://www.wikidata.org/entity/Q1519049,36931665,22020000
http://www.wikidata.org/entity/Q11694978,13500,0
http://www.wikidata.org/entity/Q39969,1386104,0
http://www.wikidata.org/entity/Q340138,72217298,35200000
